CustomerId,Customer,City,StateProvince,CountryRegion,PostalCode
AW00011000,Jon_Yang,Rockhampton,Queensland,Australia,4700
AW00011001,Eugene_Huang,Seaford,Victoria,Australia,3198
AW00011002,Ruben_Torres,Hobart,Tasmania,Australia,7001
AW00011003,Christy_Zhu,North_Ryde,New_South_Wales,Australia,2113
AW00011004,Elizabeth_Johnson,Wollongong,New_South_Wales,Australia,2500
AW00011005,Julio_Ruiz,East_Brisbane,Queensland,Australia,4169
AW00011006,Janet_Alvarez,Matraville,New_South_Wales,Australia,2036
AW00011007,Marco_Mehta,Warrnambool,Victoria,Australia,3280
AW00011008,Rob_Verhoff,Bendigo,Victoria,Australia,3550
AW00011009,Shannon_Carlson,Hervey_Bay,Queensland,Australia,4655
AW00011010,Jacquelyn_Suarez,East_Brisbane,Queensland,Australia,4169
AW00011011,Curtis_Lu,East_Brisbane,Queensland,Australia,4169
AW00011012,Lauren_Walker,Bremerton,Washington,United_States,98312
AW00011013,Ian_Jenkins,Lebanon,Oregon,United_States,97355
AW00011014,Sydney_Bennett,Redmond,Washington,United_States,98052
AW00011015,Chloe_Young,Burbank,California,United_States,91502
AW00011016,Wyatt_Hill,Imperial_Beach,California,United_States,91932
AW00011017,Shannon_Wang,Sunbury,Victoria,Australia,3429
AW00011018,Clarence_Rai,Bendigo,Victoria,Australia,3550
AW00011019,Luke_Lal,Langley,British_Columbia,Canada,V3A_4R2
AW00011020,Jordan_King,Metchosin,British_Columbia,Canada,V9
AW00011021,Destiny_Wilson,Beaverton,Oregon,United_States,97005
AW00011022,Ethan_Zhang,Bellingham,Washington,United_States,98225
AW00011023,Seth_Edwards,Bellflower,California,United_States,90706
AW00011024,Russell_Xie,Concord,California,United_States,94519
AW00011025,Alejandro_Beck,Hawthorne,Queensland,Australia,4171
AW00011026,Harold_Sai,Goulburn,New_South_Wales,Australia,2580
AW00011027,Jessie_Zhao,Warrnambool,Victoria,Australia,3280
AW00011028,Jill_Jimenez,St._Leonards,New_South_Wales,Australia,2065
AW00011029,Jimmy_Moreno,Bendigo,Victoria,Australia,3550
AW00011030,Bethany_Yuan,Cloverdale,South_Australia,Australia,6105
AW00011031,Theresa_Ramos,Matraville,New_South_Wales,Australia,2036
AW00011032,Denise_Stone,Melbourne,Victoria,Australia,3000
AW00011033,Jaime_Nath,Milsons_Point,New_South_Wales,Australia,2061
AW00011034,Ebony_Gonzalez,North_Sydney,New_South_Wales,Australia,2055
AW00011035,Wendy_Dominguez,Cranbourne,Victoria,Australia,3977
AW00011036,Jennifer_Russell,National_City,California,United_States,91950
AW00011037,Chloe_Garcia,Cliffside,British_Columbia,Canada,V8Y_1L1
AW00011038,Diana_Hernandez,Lavender_Bay,New_South_Wales,Australia,2060
AW00011039,Marc_Martin,Wollongong,New_South_Wales,Australia,2500
AW00011040,Jesse_Murphy,Tacoma,Washington,United_States,98403
AW00011041,Amanda_Carter,Glendale,California,United_States,91203
AW00011042,Megan_Sanchez,Los_Angeles,California,United_States,90012
AW00011043,Nathan_Simmons,Glendale,California,United_States,91203
AW00011044,Adam_Flores,Hervey_Bay,Queensland,Australia,4655
AW00011045,Leonard_Nara,Matraville,New_South_Wales,Australia,2036
AW00011046,Christine_Yuan,Lavender_Bay,New_South_Wales,Australia,2060
AW00011047,Jaclyn_Lu,Geelong,Victoria,Australia,3220
AW00011048,Jeremy_Powell,Sunbury,Victoria,Australia,3429
AW00011049,Carol_Rai,Chula_Vista,California,United_States,91910
AW00011050,Alan_Zheng,Hobart,Tasmania,Australia,7001
AW00011051,Daniel_Johnson,Caloundra,Queensland,Australia,4551
AW00011052,Heidi_Lopez,Matraville,New_South_Wales,Australia,2036
AW00011053,Ana_Price,San_Diego,California,United_States,92102
